Open,High,Low,Close,Volume,Adj_Close
31.26,32.48,29.92,30.09,1552600,30.09
28.02,28.58,25.059999,25.549999,9301900,25.549999
25.85,26.75,25,26.41,4056300,26.41
27.030001,28.01,26.5,27.73,3319200,27.73
27.700001,27.9,26.379999,26.5,2041100,26.5
26.57,27.25,26.5,26.629999,1417900,26.629999
26.84,27,25.9,26.620001,1283000,26.620001
26.66,26.950001,26.02,26.67,1187400,26.67
26.48,26.9,26.190001,26.83,1446700,26.83
26.83,28,26.809999,27.879999,2061200,27.879999
